s_mm,ux,uy,uz,rx,ry,rz
0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
213.333333,2.444137102e-02,5.435937289e-05,-1.695804230e-03,-4.898820132e-07,2.244675736e-04,7.654122042e-18
426.666667,9.378017873e-02,2.005951597e-04,-3.391608460e-03,-8.613413804e-07,4.209134691e-04,1.530824408e-17
640.000000,2.020384651e-01,4.134438626e-04,-5.087412690e-03,-1.114378102e-06,5.893376864e-04,2.296236613e-17
853.333333,3.432382723e-01,6.676419838e-04,-6.783216920e-03,-1.248992177e-06,7.297402256e-04,3.061648817e-17
1066.666667,5.114016421e-01,9.379260254e-04,-8.479021150e-03,-1.265183606e-06,8.421210867e-04,3.827061021e-17
1280.000000,7.005506166e-01,1.199032490e-03,-1.017482538e-02,-1.162952389e-06,9.264802697e-04,4.592473225e-17
1493.333333,9.047072378e-01,1.425697879e-03,-1.187062961e-02,-9.422985263e-07,9.828177746e-04,5.357885430e-17
1706.666667,1.117893548e+00,1.592658695e-03,-1.356643384e-02,-6.032220174e-07,1.011133601e-03,6.123297634e-17
1920.000000,1.334131588e+00,1.674651440e-03,-1.526223807e-02,-1.457228626e-07,1.011427750e-03,6.888709838e-17
2133.333333,1.547443402e+00,1.646412617e-03,-1.695804230e-02,4.301989383e-07,9.837002205e-04,7.654122042e-17
2346.666667,1.751851030e+00,1.482678727e-03,-1.865384653e-02,1.124543385e-06,9.279510128e-04,8.419534246e-17
2560.000000,1.941376515e+00,1.158186273e-03,-2.034965076e-02,1.937310478e-06,8.441801271e-04,9.184946451e-17
2773.333333,2.110041898e+00,6.476717575e-04,-2.204545499e-02,2.868500217e-06,7.323875633e-04,9.950358655e-17
2986.666667,2.251869222e+00,-7.412831839e-05,-2.374125922e-02,3.918112602e-06,5.925733213e-04,1.071577086e-16
3000.000000,2.259705863e+00,-1.268328576e-04,-2.384724699e-02,3.987645378e-06,5.829045239e-04,1.076360912e-16
