s_mm,ux,uy,uz,rx,ry,rz
0.000000,2.377435718e+00,1.268328561e-04,9.439257272e-03,3.987645379e-06,-8.058869397e-04,-7.731827727e-18
206.666667,2.375012819e+00,1.268328561e-04,1.605334416e-01,3.987645378e-06,-6.579847047e-04,1.242176173e-17
413.333333,2.372589919e+00,1.268328561e-04,2.820964775e-01,3.987645378e-06,-5.201016320e-04,3.103828110e-17
620.000000,2.370167020e+00,1.268328561e-04,3.761989918e-01,3.987645378e-06,-3.922377215e-04,4.811773238e-17
826.666667,2.367744121e+00,1.268328561e-04,4.449116114e-01,3.987645378e-06,-2.743929732e-04,6.366011276e-17
1033.333333,2.365321221e+00,1.268328561e-04,4.903049630e-01,3.987645378e-06,-1.665673871e-04,7.766541772e-17
1240.000000,2.362898322e+00,1.268328561e-04,5.144496737e-01,3.987645378e-06,-6.876096330e-05,9.013365628e-17
1446.666667,2.360475422e+00,1.268328561e-04,5.194163701e-01,3.987645378e-06,1.902629832e-05,1.010648285e-16
1653.333333,2.358052523e+00,1.268328562e-04,5.072756793e-01,3.987645378e-06,9.679439771e-05,1.104589297e-16
1860.000000,2.355629623e+00,1.268328562e-04,4.800982280e-01,3.987645378e-06,1.645433349e-04,1.183159601e-16
2066.666667,2.353206724e+00,1.268328562e-04,4.399546432e-01,3.987645378e-06,2.222731098e-04,1.246359150e-16
2273.333333,2.350783825e+00,1.268328562e-04,3.889155516e-01,3.987645378e-06,2.699837225e-04,1.294188081e-16
2480.000000,2.348360925e+00,1.268328563e-04,3.290515801e-01,3.987645378e-06,3.076751730e-04,1.326646302e-16
2686.666667,2.345938026e+00,1.268328563e-04,2.624333557e-01,3.987645378e-06,3.353474613e-04,1.343733770e-16
2893.333333,2.343515126e+00,1.268328563e-04,1.911315051e-01,3.987645378e-06,3.530005874e-04,1.345450573e-16
3100.000000,2.341092227e+00,1.268328564e-04,1.172166552e-01,3.987645378e-06,3.606345512e-04,1.331796667e-16
3306.666667,2.338669328e+00,1.268328564e-04,4.275943287e-02,3.987645378e-06,3.582493528e-04,1.302772053e-16
3513.333333,2.336246428e+00,1.268328564e-04,-3.016953501e-02,3.987645378e-06,3.458449922e-04,1.258376819e-16
3720.000000,2.333823529e+00,1.268328564e-04,-9.949962161e-02,3.987645378e-06,3.234214693e-04,1.198610741e-16
3926.666667,2.331400629e+00,1.268328565e-04,-1.631602001e-01,3.987645378e-06,2.909787843e-04,1.123474044e-16
4133.333333,2.328977730e+00,1.268328565e-04,-2.190806435e-01,3.987645378e-06,2.485169370e-04,1.032966684e-16
4340.000000,2.326554831e+00,1.268328565e-04,-2.651903250e-01,3.987645378e-06,1.960359275e-04,9.270886138e-17
4546.666667,2.324131931e+00,1.268328565e-04,-2.994186179e-01,3.987645378e-06,1.335357557e-04,8.058397898e-17
4753.333333,2.321709032e+00,1.268328565e-04,-3.196948951e-01,3.987645378e-06,6.101642176e-05,6.692202567e-17
4960.000000,2.319286132e+00,1.268328565e-04,-3.239485299e-01,3.987645378e-06,-2.152207442e-05,5.172300597e-17
5166.666667,2.316863233e+00,1.268328566e-04,-3.101088954e-01,3.987645378e-06,-1.140797328e-04,3.498691763e-17
5373.333333,2.314440333e+00,1.268328566e-04,-2.761053647e-01,3.987645378e-06,-2.166565535e-04,1.671375611e-17
5580.000000,2.312017434e+00,1.268328566e-04,-2.198673110e-01,3.987645378e-06,-3.292525363e-04,-3.096472921e-18
5786.666667,2.309594535e+00,1.268328566e-04,-1.393241074e-01,3.987645378e-06,-4.518676814e-04,-2.444377230e-17
5993.333333,2.307171635e+00,1.268328565e-04,-3.240512709e-02,3.987645378e-06,-5.845019887e-04,-4.732814235e-17
6000.000000,2.307093477e+00,1.268328565e-04,-2.849363517e-02,3.987645378e-06,-5.889473270e-04,-4.809193902e-17
