s_mm,ux,uy,uz,rx,ry,rz
0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
213.333333,2.300053019e-02,-1.448962085e-14,3.073787898e-04,1.320443191e-16,2.116903760e-04,5.862115611e-18
426.666667,8.864033345e-02,-5.471933559e-14,6.147575796e-04,2.413133802e-16,3.997431850e-04,1.172423122e-17
640.000000,1.918767288e-01,-1.158304225e-13,9.221363694e-04,3.278071831e-16,5.641584267e-04,1.758634683e-17
853.333333,3.276670352e-01,-1.929641598e-13,1.229515159e-03,3.915257279e-16,7.049361014e-04,2.344846244e-17
1066.666667,4.909685717e-01,-2.812618258e-13,1.536893949e-03,4.324690145e-16,8.220762089e-04,2.931057805e-17
1280.000000,6.767386573e-01,-3.758646987e-13,1.844272739e-03,4.506370431e-16,9.155787493e-04,3.517269366e-17
1493.333333,8.799346111e-01,-4.719140569e-13,2.151651529e-03,4.460298136e-16,9.854437225e-04,4.103480927e-17
1706.666667,1.095513752e+00,-5.645511786e-13,2.459030318e-03,4.186473259e-16,1.031671129e-03,4.689692488e-17
1920.000000,1.318433399e+00,-6.489173421e-13,2.766409108e-03,3.684895801e-16,1.054260968e-03,5.275904050e-17
2133.333333,1.543650871e+00,-7.201538256e-13,3.073787898e-03,2.955565763e-16,1.053213239e-03,5.862115611e-17
2346.666667,1.766123487e+00,-7.734019074e-13,3.381166688e-03,1.998483143e-16,1.028527944e-03,6.448327172e-17
2560.000000,1.980808567e+00,-8.038028657e-13,3.688545478e-03,8.136479416e-17,9.802050818e-04,7.034538733e-17
2773.333333,2.182663429e+00,-8.064979790e-13,3.995924267e-03,-5.989398406e-17,9.082446523e-04,7.620750294e-17
2986.666667,2.366645392e+00,-7.766285253e-13,4.303303057e-03,-2.239280204e-16,8.126466556e-04,8.206961855e-17
3000.000000,2.377435718e+00,-7.735695283e-13,4.322514231e-03,-2.349363574e-16,8.058869397e-04,8.243600077e-17
