s_mm,ux,uy,uz,rx,ry,rz
0.000000,5.831117439e+00,4.021160725e-04,-4.907222135e-02,-7.391876855e-06,-1.435015666e-04,9.812210355e-17
206.666667,5.830786608e+00,4.021160725e-04,-2.270513420e-02,-7.391876855e-06,-1.120506513e-04,1.325522693e-16
413.333333,5.830455778e+00,4.021160726e-04,-2.598050657e-03,-7.391876855e-06,-8.292088665e-05,1.648301767e-16
620.000000,5.830124948e+00,4.021160726e-04,1.172873377e-02,-7.391876855e-06,-5.611227273e-05,1.949558326e-16
826.666667,5.829794118e+00,4.021160726e-04,2.075492357e-02,-7.391876855e-06,-3.162480953e-05,2.229292258e-16
1033.333333,5.829463288e+00,4.021160727e-04,2.496022321e-02,-7.391876855e-06,-9.458497054e-06,2.487503833e-16
1240.000000,5.829132458e+00,4.021160727e-04,2.482433718e-02,-7.391876855e-06,1.038666471e-05,2.724192554e-16
1446.666667,5.828801627e+00,4.021160728e-04,2.082696995e-02,-7.391876855e-06,2.791067575e-05,2.939358874e-16
1653.333333,5.828470797e+00,4.021160729e-04,1.344782603e-02,-7.391876855e-06,4.311353608e-05,3.133002520e-16
1860.000000,5.828139967e+00,4.021160729e-04,3.166609870e-03,-7.391876855e-06,5.599524568e-05,3.305123765e-16
2066.666667,5.827809137e+00,4.021160730e-04,-9.536974030e-03,-7.391876855e-06,6.655580457e-05,3.455722337e-16
2273.333333,5.827478307e+00,4.021160731e-04,-2.418322119e-02,-7.391876855e-06,7.479521274e-05,3.584798417e-16
2480.000000,5.827147477e+00,4.021160732e-04,-4.029242714e-02,-7.391876855e-06,8.071347020e-05,3.692352005e-16
2686.666667,5.826816646e+00,4.021160732e-04,-5.738488738e-02,-7.391876855e-06,8.431057693e-05,3.778382739e-16
2893.333333,5.826485816e+00,4.021160733e-04,-7.498089744e-02,-7.391876855e-06,8.558653294e-05,3.842891342e-16
3100.000000,5.826154986e+00,4.021160734e-04,-9.260075284e-02,-7.391876855e-06,8.454133824e-05,3.885876912e-16
3306.666667,5.825824156e+00,4.021160735e-04,-1.097647491e-01,-7.391876855e-06,8.117499282e-05,3.907340169e-16
3513.333333,5.825493326e+00,4.021160736e-04,-1.259931817e-01,-7.391876855e-06,7.548749668e-05,3.907280935e-16
3720.000000,5.825162496e+00,4.021160736e-04,-1.408063462e-01,-7.391876855e-06,6.747884982e-05,3.885699027e-16
3926.666667,5.824831665e+00,4.021160737e-04,-1.537245381e-01,-7.391876855e-06,5.714905225e-05,3.842594628e-16
4133.333333,5.824500835e+00,4.021160738e-04,-1.642680530e-01,-7.391876855e-06,4.449810395e-05,3.777967555e-16
4340.000000,5.824170005e+00,4.021160739e-04,-1.719571863e-01,-7.391876855e-06,2.952600494e-05,3.691817991e-16
4546.666667,5.823839175e+00,4.021160739e-04,-1.763122335e-01,-7.391876855e-06,1.223275521e-05,3.584145934e-16
4753.333333,5.823508345e+00,4.021160740e-04,-1.768534903e-01,-7.391876855e-06,-7.381645237e-06,3.454951205e-16
4960.000000,5.823177515e+00,4.021160741e-04,-1.731012520e-01,-7.391876855e-06,-2.931719640e-05,3.304233983e-16
5166.666667,5.822846684e+00,4.021160742e-04,-1.645758143e-01,-7.391876855e-06,-5.357389829e-05,3.131994179e-16
5373.333333,5.822515854e+00,4.021160742e-04,-1.507974726e-01,-7.391876855e-06,-8.015175089e-05,2.938231792e-16
5580.000000,5.822185024e+00,4.021160743e-04,-1.312865224e-01,-7.391876855e-06,-1.090507542e-04,2.722946868e-16
5786.666667,5.821854194e+00,4.021160743e-04,-1.055632593e-01,-7.391876855e-06,-1.402709083e-04,2.486139384e-16
5993.333333,5.821523364e+00,4.021160744e-04,-7.314797883e-02,-7.391876855e-06,-1.738122130e-04,2.227809317e-16
6000.000000,5.821512692e+00,4.021160744e-04,-7.198549668e-02,-7.391876855e-06,-1.749328362e-04,2.219117753e-16
