s_mm,ux,uy,uz,rx,ry,rz
0.000000,2.233767898e+00,1.268328570e-04,-4.114983747e-02,-3.987645378e-06,7.436482935e-04,7.647299866e-17
213.333333,2.399208821e+00,8.131200894e-04,-4.274563823e-02,-2.483572289e-06,8.052902378e-04,8.582826379e-17
426.666667,2.576475149e+00,1.202394309e-03,-4.434143898e-02,-1.203148379e-06,8.545114631e-04,9.518352893e-17
640.000000,2.762917127e+00,1.342367340e-03,-4.593723973e-02,-1.463736483e-07,8.913119694e-04,1.045387941e-16
853.333333,2.955885004e+00,1.280751007e-03,-4.753304048e-02,6.867519040e-07,9.156917567e-04,1.138940592e-16
1066.666667,3.152729026e+00,1.065257135e-03,-4.912884123e-02,1.296228278e-06,9.276508250e-04,1.232493243e-16
1280.000000,3.350799439e+00,7.435975501e-04,-5.072464198e-02,1.682055472e-06,9.271891743e-04,1.326045895e-16
1493.333333,3.547446489e+00,3.634840756e-04,-5.232044273e-02,1.844233488e-06,9.143068046e-04,1.419598546e-16
1706.666667,3.740020424e+00,-2.737146326e-05,-5.391624348e-02,1.782762325e-06,8.890037159e-04,1.513151197e-16
1920.000000,3.925871490e+00,-3.812572416e-04,-5.551204423e-02,1.497641983e-06,8.512799082e-04,1.606703849e-16
2133.333333,4.102349934e+00,-6.504614346e-04,-5.710784498e-02,9.888724628e-07,8.011353815e-04,1.700256500e-16
2346.666667,4.266806002e+00,-7.872722174e-04,-5.870364573e-02,2.564537634e-07,7.385701358e-04,1.793809151e-16
2560.000000,4.416589941e+00,-7.439777654e-04,-6.029944648e-02,-6.996141148e-07,6.635841712e-04,1.887361803e-16
2773.333333,4.549051997e+00,-4.728662535e-04,-6.189524724e-02,-1.879331172e-06,5.761774875e-04,1.980914454e-16
2986.666667,4.661542417e+00,7.377414287e-05,-6.349104799e-02,-3.282697408e-06,4.763500848e-04,2.074467105e-16
3000.000000,4.667849462e+00,1.181767125e-04,-6.359078553e-02,-3.377833649e-06,4.696984655e-04,2.080314146e-16
