s_mm,ux,uy,uz,rx,ry,rz
0.000000,2.377435718e+00,-1.268328576e-04,9.439257272e-03,3.987645378e-06,8.058869397e-04,2.029060924e-16
213.333333,2.554225539e+00,-8.131200900e-04,9.477958264e-03,2.483572289e-06,8.498398236e-04,2.029521890e-16
426.666667,2.739318178e+00,-1.202394309e-03,9.516659257e-03,1.203148380e-06,8.837258613e-04,2.029982855e-16
640.000000,2.930566042e+00,-1.342367340e-03,9.555360250e-03,1.463736489e-07,9.075450526e-04,2.030443821e-16
853.333333,3.125821536e+00,-1.280751008e-03,9.594061243e-03,-6.867519033e-07,9.212973978e-04,2.030904787e-16
1066.666667,3.322937067e+00,-1.065257137e-03,9.632762236e-03,-1.296228277e-06,9.249828967e-04,2.031365752e-16
1280.000000,3.519765041e+00,-7.435975514e-04,9.671463229e-03,-1.682055471e-06,9.186015493e-04,2.031826718e-16
1493.333333,3.714157863e+00,-3.634840771e-04,9.710164221e-03,-1.844233487e-06,9.021533557e-04,2.032287684e-16
1706.666667,3.903967941e+00,2.737146151e-05,9.748865214e-03,-1.782762324e-06,8.756383158e-04,2.032748649e-16
1920.000000,4.087047680e+00,3.812572396e-04,9.787566207e-03,-1.497641982e-06,8.390564297e-04,2.033209615e-16
2133.333333,4.261249487e+00,6.504614324e-04,9.826267200e-03,-9.888724620e-07,7.924076973e-04,2.033670581e-16
2346.666667,4.424425766e+00,7.872722152e-04,9.864968193e-03,-2.564537628e-07,7.356921186e-04,2.034131546e-16
2560.000000,4.574428926e+00,7.439777630e-04,9.903669185e-03,6.996141151e-07,6.689096937e-04,2.034592512e-16
2773.333333,4.709111371e+00,4.728662511e-04,9.942370178e-03,1.879331172e-06,5.920604226e-04,2.035053478e-16
2986.666667,4.826325508e+00,-7.377414529e-05,9.981071171e-03,3.282697407e-06,5.051443052e-04,2.035514443e-16
3000.000000,4.833022366e+00,-1.181767150e-04,9.983489983e-03,3.377833649e-06,4.993777971e-04,2.035543254e-16
