s_mm,ux,uy,uz,rx,ry,rz
0.000000,2.307093477e+00,-1.268328571e-04,-2.849363517e-02,3.987645378e-06,5.889473270e-04,9.011047858e-17
213.333333,2.307093477e+00,-1.178136317e-04,-2.783356679e-02,2.237909887e-06,5.889473270e-04,1.415333316e-16
426.666667,2.307093477e+00,-1.087944063e-04,-2.752283022e-02,7.126596927e-07,5.889473270e-04,1.847045995e-16
640.000000,2.307093477e+00,-9.977518095e-05,-2.751353525e-02,-5.881052040e-07,5.889473270e-04,2.192198240e-16
853.333333,2.307093477e+00,-9.075595557e-05,-2.775779170e-02,-1.664384804e-06,5.889473270e-04,2.458191540e-16
1066.666667,2.307093477e+00,-8.173673020e-05,-2.820770937e-02,-2.516179106e-06,5.889473270e-04,2.639104703e-16
1280.000000,2.307093477e+00,-7.271750483e-05,-2.881539806e-02,-3.143488111e-06,5.889473270e-04,2.734937730e-16
1493.333333,2.307093477e+00,-6.369827945e-05,-2.953296757e-02,-3.546311818e-06,5.889473270e-04,2.747170919e-16
1706.666667,2.307093477e+00,-5.467905408e-05,-3.031252770e-02,-3.724650229e-06,5.889473270e-04,2.678764864e-16
1920.000000,2.307093477e+00,-4.565982870e-05,-3.110618826e-02,-3.678503342e-06,5.889473270e-04,2.523798376e-16
2133.333333,2.307093477e+00,-3.664060333e-05,-3.186605906e-02,-3.407871158e-06,5.889473270e-04,2.286712346e-16
2346.666667,2.307093477e+00,-2.762137795e-05,-3.254424989e-02,-2.912753677e-06,5.889473270e-04,1.964546181e-16
2560.000000,2.307093477e+00,-1.860215258e-05,-3.309287056e-02,-2.193150898e-06,5.889473270e-04,1.561740772e-16
2773.333333,2.307093477e+00,-9.582927206e-06,-3.346403088e-02,-1.249062822e-06,5.889473270e-04,1.074225301e-16
2986.666667,2.307093477e+00,-5.637018316e-07,-3.360984064e-02,-8.048944928e-08,5.889473270e-04,5.031793804e-17
3000.000000,2.307093477e+00,-2.456698223e-13,-3.361037821e-02,-7.362089019e-17,5.889473270e-04,4.647146801e-17
