s_mm,ux,uy,uz,rx,ry,rz
0.000000,2.259705863e+00,-8.134814647e-13,-2.896399003e-02,-1.509130247e-16,5.829045239e-04,6.672514247e-17
213.333333,2.396601817e+00,-8.009568839e-13,-3.038189047e-02,2.903748165e-17,6.972304938e-04,6.864678593e-17
426.666667,2.555797996e+00,-8.239688818e-13,-3.179979091e-02,1.822424016e-16,7.919691310e-04,7.056842939e-17
640.000000,2.733115769e+00,-8.768117335e-13,-3.321769136e-02,3.087017350e-16,8.671204355e-04,7.249007285e-17
853.333333,2.924376505e+00,-9.537797137e-13,-3.463559180e-02,4.084154821e-16,9.226844074e-04,7.441171632e-17
1066.666667,3.125401573e+00,-1.049167097e-12,-3.605349224e-02,4.813836428e-16,9.586610466e-04,7.633335978e-17
1280.000000,3.332012342e+00,-1.157268160e-12,-3.747139269e-02,5.276062170e-16,9.750503532e-04,7.825500324e-17
1493.333333,3.540030180e+00,-1.272377175e-12,-3.888929313e-02,5.470832048e-16,9.718523270e-04,8.017664670e-17
1706.666667,3.745276457e+00,-1.388788419e-12,-4.030719358e-02,5.398146062e-16,9.490669682e-04,8.209829016e-17
1920.000000,3.943572543e+00,-1.500796165e-12,-4.172509402e-02,5.058004211e-16,9.066942767e-04,8.401993362e-17
2133.333333,4.130739805e+00,-1.602694690e-12,-4.314299446e-02,4.450406497e-16,8.447342526e-04,8.594157708e-17
2346.666667,4.302599614e+00,-1.688778267e-12,-4.456089491e-02,3.575352918e-16,7.631868958e-04,8.786322055e-17
2560.000000,4.454973337e+00,-1.753341173e-12,-4.597879535e-02,2.432843475e-16,6.620522063e-04,8.978486401e-17
2773.333333,4.583682345e+00,-1.790677681e-12,-4.739669579e-02,1.022878168e-16,5.413301841e-04,9.170650747e-17
2986.666667,4.684548005e+00,-1.795082066e-12,-4.881459624e-02,-6.545430036e-17,4.010208293e-04,9.362815093e-17
3000.000000,4.689832237e+00,-1.794133645e-12,-4.890321502e-02,-7.682621973e-17,3.916011340e-04,9.374825365e-17
