s_mm,ux,uy,uz,rx,ry,rz
0.000000,4.833022366e+00,-1.181767150e-04,9.983489983e-03,-3.377833649e-06,-4.993777971e-04,2.035543254e-16
206.666667,4.829963235e+00,-1.181767149e-04,1.033653021e-01,-3.377833649e-06,-4.053876167e-04,2.344866515e-16
413.333333,4.826904103e+00,-1.181767149e-04,1.779861606e-01,-3.377833649e-06,-3.178201813e-04,2.629005123e-16
620.000000,4.823844972e+00,-1.181767148e-04,2.351734328e-01,-3.377833649e-06,-2.366754910e-04,2.887959082e-16
826.666667,4.820785841e+00,-1.181767147e-04,2.762544860e-01,-3.377833649e-06,-1.619535458e-04,3.121728398e-16
1033.333333,4.817726710e+00,-1.181767147e-04,3.025566876e-01,-3.377833649e-06,-9.365434567e-05,3.330313103e-16
1240.000000,4.814667578e+00,-1.181767146e-04,3.154074047e-01,-3.377833649e-06,-3.177789059e-05,3.513713131e-16
1446.666667,4.811608447e+00,-1.181767145e-04,3.161340048e-01,-3.377833649e-06,2.367581943e-05,3.671928504e-16
1653.333333,4.808549316e+00,-1.181767145e-04,3.060638551e-01,-3.377833649e-06,7.270678438e-05,3.804959267e-16
1860.000000,4.805490184e+00,-1.181767144e-04,2.865243230e-01,-3.377833649e-06,1.153150043e-04,3.912805285e-16
2066.666667,4.802431053e+00,-1.181767143e-04,2.588427758e-01,-3.377833649e-06,1.515004791e-04,3.995466738e-16
2273.333333,4.799371922e+00,-1.181767142e-04,2.243465807e-01,-3.377833649e-06,1.812632088e-04,4.052943581e-16
2480.000000,4.796312790e+00,-1.181767141e-04,1.843631052e-01,-3.377833649e-06,2.046031935e-04,4.085235724e-16
2686.666667,4.793253659e+00,-1.181767140e-04,1.402197165e-01,-3.377833649e-06,2.215204332e-04,4.092343212e-16
2893.333333,4.790194528e+00,-1.181767140e-04,9.324378195e-02,-3.377833649e-06,2.320149277e-04,4.074266091e-16
3100.000000,4.787135397e+00,-1.181767139e-04,4.476266883e-02,-3.377833649e-06,2.360866772e-04,4.031004314e-16
3306.666667,4.784076265e+00,-1.181767138e-04,-3.896255523e-03,-3.377833649e-06,2.337356816e-04,3.962557837e-16
3513.333333,4.781017134e+00,-1.181767137e-04,-5.140562381e-02,-3.377833649e-06,2.249619410e-04,3.868926751e-16
3720.000000,4.777958003e+00,-1.181767136e-04,-9.643806870e-02,-3.377833649e-06,2.097654553e-04,3.750111054e-16
3926.666667,4.774898871e+00,-1.181767136e-04,-1.376662229e-01,-3.377833649e-06,1.881462245e-04,3.606110703e-16
4133.333333,4.771839740e+00,-1.181767135e-04,-1.737627191e-01,-3.377833649e-06,1.601042487e-04,3.436925697e-16
4340.000000,4.768780609e+00,-1.181767134e-04,-2.034001899e-01,-3.377833649e-06,1.256395278e-04,3.242555990e-16
4546.666667,4.765721478e+00,-1.181767133e-04,-2.252512681e-01,-3.377833649e-06,8.475206183e-05,3.023001629e-16
4753.333333,4.762662346e+00,-1.181767133e-04,-2.379885864e-01,-3.377833649e-06,3.744185080e-05,2.778262725e-16
4960.000000,4.759603215e+00,-1.181767132e-04,-2.402847773e-01,-3.377833649e-06,-1.629110530e-05,2.508339099e-16
5166.666667,4.756544084e+00,-1.181767132e-04,-2.308124737e-01,-3.377833649e-06,-7.644680647e-05,2.213230840e-16
5373.333333,4.753484952e+00,-1.181767131e-04,-2.082443082e-01,-3.377833649e-06,-1.430252527e-04,1.892937949e-16
5580.000000,4.750425821e+00,-1.181767131e-04,-1.712529135e-01,-3.377833649e-06,-2.160264440e-04,1.547460414e-16
5786.666667,4.747366690e+00,-1.181767131e-04,-1.185109223e-01,-3.377833649e-06,-2.954503803e-04,1.176798219e-16
5993.333333,4.744307559e+00,-1.181767131e-04,-4.869096720e-02,-3.377833649e-06,-3.812970618e-04,7.809513807e-17
6000.000000,4.744208877e+00,-1.181767131e-04,-4.613940323e-02,-3.377833649e-06,-3.841732439e-04,7.677628205e-17
