s_mm,ux,uy,uz,rx,ry,rz
0.000000,4.833022366e+00,-1.181767150e-04,9.983489983e-03,3.377833649e-06,4.993777971e-04,2.035543254e-16
213.333333,4.939127124e+00,-6.282570648e-04,9.773074609e-03,1.460383804e-06,4.947277525e-04,2.059575652e-16
426.666667,5.043838878e+00,-7.652585187e-04,9.562659235e-03,-1.197810005e-07,4.863183923e-04,2.083608051e-16
640.000000,5.146355642e+00,-6.011352185e-04,9.352243861e-03,-1.362660765e-06,4.741497164e-04,2.107640449e-16
853.333333,5.245875428e+00,-2.078413061e-04,9.141828487e-03,-2.268255490e-06,4.582217249e-04,2.131672848e-16
1066.666667,5.341596249e+00,3.426690766e-04,8.931413114e-03,-2.836565175e-06,4.385344177e-04,2.155705246e-16
1280.000000,5.432716117e+00,9.784417878e-04,8.720997740e-03,-3.067589820e-06,4.150877948e-04,2.179737645e-16
1493.333333,5.518433045e+00,1.627522686e-03,8.510582366e-03,-2.961329425e-06,3.878818563e-04,2.203770043e-16
1706.666667,5.597945047e+00,2.217957629e-03,8.300166992e-03,-2.517783990e-06,3.569166021e-04,2.227802442e-16
1920.000000,5.670450133e+00,2.677792474e-03,8.089751618e-03,-1.736953515e-06,3.221920322e-04,2.251834840e-16
2133.333333,5.735146318e+00,2.935073081e-03,7.879336244e-03,-6.188380005e-07,2.837081467e-04,2.275867239e-16
2346.666667,5.791231613e+00,2.917845307e-03,7.668920870e-03,8.365625541e-07,2.414649455e-04,2.299899637e-16
2560.000000,5.837904032e+00,2.554155011e-03,7.458505496e-03,2.629248149e-06,1.954624286e-04,2.323932036e-16
2773.333333,5.874361587e+00,1.772048050e-03,7.248090122e-03,4.759218783e-06,1.457005961e-04,2.347964434e-16
2986.666667,5.899802291e+00,4.995702826e-04,7.037674748e-03,7.226474458e-06,9.217944787e-05,2.371996833e-16
3000.000000,5.901008234e+00,4.021160711e-04,7.024523788e-03,7.391876855e-06,8.870955508e-05,2.373498858e-16
