s_mm,ux,uy,uz,rx,ry,rz
0.000000,2.377435718e+00,-1.268328576e-04,9.439257272e-03,3.987645378e-06,8.058869397e-04,2.029060924e-16
213.333333,2.377435718e+00,-1.178136322e-04,1.009932565e-02,2.237909887e-06,8.058869397e-04,2.287794152e-16
426.666667,2.377435718e+00,-1.087944069e-04,1.041006222e-02,7.126596927e-07,8.058869397e-04,2.494136846e-16
640.000000,2.377435718e+00,-9.977518149e-05,1.041935718e-02,-5.881052040e-07,8.058869397e-04,2.647405547e-16
853.333333,2.377435718e+00,-9.075595611e-05,1.017510073e-02,-1.664384803e-06,8.058869397e-04,2.747970330e-16
1066.666667,2.377435718e+00,-8.173673074e-05,9.725183067e-03,-2.516179106e-06,8.058869397e-04,2.795091045e-16
1280.000000,2.377435718e+00,-7.271750536e-05,9.117494381e-03,-3.143488111e-06,8.058869397e-04,2.790247990e-16
1493.333333,2.377435718e+00,-6.369827999e-05,8.399924872e-03,-3.546311818e-06,8.058869397e-04,2.731960869e-16
1706.666667,2.377435718e+00,-5.467905461e-05,7.620364738e-03,-3.724650229e-06,8.058869397e-04,2.621709978e-16
1920.000000,2.377435718e+00,-4.565982924e-05,6.826704174e-03,-3.678503342e-06,8.058869397e-04,2.459495316e-16
2133.333333,2.377435718e+00,-3.664060386e-05,6.066833377e-03,-3.407871158e-06,8.058869397e-04,2.243836588e-16
2346.666667,2.377435718e+00,-2.762137849e-05,5.388642545e-03,-2.912753677e-06,8.058869397e-04,1.976214090e-16
2560.000000,2.377435718e+00,-1.860215311e-05,4.840021874e-03,-2.193150898e-06,8.058869397e-04,1.653667228e-16
2773.333333,2.377435718e+00,-9.582927735e-06,4.468861561e-03,-1.249062822e-06,8.058869397e-04,1.279526670e-16
2986.666667,2.377435718e+00,-5.637023595e-07,4.323051802e-03,-8.048944943e-08,8.058869397e-04,8.528209712e-17
3000.000000,2.377435718e+00,-7.735695283e-13,4.322514231e-03,-2.349363574e-16,8.058869397e-04,8.243600077e-17
