s_mm,ux,uy,uz,rx,ry,rz
0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
213.333333,2.504102538e-02,5.435937290e-05,-2.026214056e-03,-4.898820133e-07,2.299601376e-04,6.407856255e-18
426.666667,9.606854926e-02,2.005951597e-04,-4.052428112e-03,-8.613413806e-07,4.311234234e-04,1.281571251e-17
640.000000,2.069392432e-01,4.134438627e-04,-6.078642169e-03,-1.114378102e-06,6.034898573e-04,1.922356876e-17
853.333333,3.515097789e-01,6.676419839e-04,-8.104856225e-03,-1.248992177e-06,7.470594393e-04,2.563142502e-17
1066.666667,5.236368278e-01,9.379260256e-04,-1.013107028e-02,-1.265183606e-06,8.618321694e-04,3.203928127e-17
1280.000000,7.171770617e-01,1.199032490e-03,-1.215728434e-02,-1.162952389e-06,9.478080476e-04,3.844713753e-17
1493.333333,9.259871520e-01,1.425697879e-03,-1.418349839e-02,-9.422985266e-07,1.004987074e-03,4.485499378e-17
1706.666667,1.143923770e+00,1.592658695e-03,-1.620971245e-02,-6.032220177e-07,1.033369249e-03,5.126285004e-17
1920.000000,1.364843589e+00,1.674651441e-03,-1.823592651e-02,-1.457228628e-07,1.032954571e-03,5.767070629e-17
2133.333333,1.582603278e+00,1.646412618e-03,-2.026214056e-02,4.301989381e-07,1.003743042e-03,6.407856255e-17
2346.666667,1.791059510e+00,1.482678728e-03,-2.228835462e-02,1.124543385e-06,9.457346607e-04,7.048641880e-17
2560.000000,1.984068957e+00,1.158186274e-03,-2.431456867e-02,1.937310478e-06,8.589294277e-04,7.689427506e-17
2773.333333,2.155488290e+00,6.476717580e-04,-2.634078273e-02,2.868500217e-06,7.433273428e-04,8.330213131e-17
2986.666667,2.299174181e+00,-7.412831786e-05,-2.836699679e-02,3.918112602e-06,5.989284060e-04,8.970998757e-17
3000.000000,2.307093477e+00,-1.268328571e-04,-2.849363517e-02,3.987645378e-06,5.889473270e-04,9.011047858e-17
