s_mm,ux,uy,uz,rx,ry,rz
0.000000,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
213.333333,2.504102538e-02,-5.435937291e-05,-2.026214056e-03,4.898820134e-07,2.299601376e-04,-3.419871219e-18
426.666667,9.606854926e-02,-2.005951598e-04,-4.052428112e-03,8.613413808e-07,4.311234234e-04,-6.839742438e-18
640.000000,2.069392432e-01,-4.134438628e-04,-6.078642169e-03,1.114378102e-06,6.034898573e-04,-1.025961366e-17
853.333333,3.515097789e-01,-6.676419841e-04,-8.104856225e-03,1.248992177e-06,7.470594393e-04,-1.367948488e-17
1066.666667,5.236368278e-01,-9.379260258e-04,-1.013107028e-02,1.265183607e-06,8.618321694e-04,-1.709935609e-17
1280.000000,7.171770617e-01,-1.199032490e-03,-1.215728434e-02,1.162952390e-06,9.478080476e-04,-2.051922731e-17
1493.333333,9.259871520e-01,-1.425697880e-03,-1.418349839e-02,9.422985269e-07,1.004987074e-03,-2.393909853e-17
1706.666667,1.143923770e+00,-1.592658696e-03,-1.620971245e-02,6.032220180e-07,1.033369249e-03,-2.735896975e-17
1920.000000,1.364843589e+00,-1.674651441e-03,-1.823592651e-02,1.457228631e-07,1.032954571e-03,-3.077884097e-17
2133.333333,1.582603278e+00,-1.646412618e-03,-2.026214056e-02,-4.301989379e-07,1.003743042e-03,-3.419871219e-17
2346.666667,1.791059510e+00,-1.482678728e-03,-2.228835462e-02,-1.124543385e-06,9.457346607e-04,-3.761858341e-17
2560.000000,1.984068957e+00,-1.158186275e-03,-2.431456867e-02,-1.937310478e-06,8.589294277e-04,-4.103845463e-17
2773.333333,2.155488290e+00,-6.476717586e-04,-2.634078273e-02,-2.868500217e-06,7.433273428e-04,-4.445832585e-17
2986.666667,2.299174181e+00,7.412831733e-05,-2.836699679e-02,-3.918112602e-06,5.989284060e-04,-4.787819707e-17
3000.000000,2.307093477e+00,1.268328565e-04,-2.849363517e-02,-3.987645378e-06,5.889473270e-04,-4.809193902e-17
