s_mm,ux,uy,uz,rx,ry,rz
0.000000,5.858141483e+00,-1.133285039e-12,-6.430346478e-02,4.326099128e-17,-1.531270283e-04,1.400538841e-16
206.666667,5.857210655e+00,-1.109531727e-12,-3.576869218e-02,4.142383376e-17,-1.233658815e-04,9.040484576e-17
413.333333,5.856279827e+00,-1.095674678e-12,-1.316758805e-02,3.958667624e-17,-9.570443026e-05,4.428358369e-17
620.000000,5.855348999e+00,-1.090984821e-12,3.933784683e-03,3.774951872e-17,-7.014267449e-05,1.690097848e-18
826.666667,5.854418170e+00,-1.094733080e-12,1.596936309e-02,3.591236121e-17,-4.668061421e-05,-3.737561178e-17
1033.333333,5.853487342e+00,-1.106190382e-12,2.337308425e-02,3.407520369e-17,-2.531824945e-05,-7.291354518e-17
1240.000000,5.852556514e+00,-1.124627654e-12,2.657888522e-02,3.223804617e-17,-6.055580179e-06,-1.049237024e-16
1446.666667,5.851625686e+00,-1.149315822e-12,2.602070308e-02,3.040088865e-17,1.110739358e-05,-1.334060833e-16
1653.333333,5.850694858e+00,-1.179525811e-12,2.213247490e-02,2.856373114e-17,2.617067184e-05,-1.583606880e-16
1860.000000,5.849764029e+00,-1.214528548e-12,1.534813774e-02,2.672657362e-17,3.913425460e-05,-1.797875166e-16
2066.666667,5.848833201e+00,-1.253594960e-12,6.101628686e-03,2.488941610e-17,4.999814185e-05,-1.976865689e-16
2273.333333,5.847902373e+00,-1.295995972e-12,-5.173115201e-03,2.305225858e-17,5.876233360e-05,-2.120578449e-16
2480.000000,5.846971545e+00,-1.341002511e-12,-1.804215685e-02,2.121510106e-17,6.542682985e-05,-2.229013448e-16
2686.666667,5.846040717e+00,-1.387885503e-12,-3.207155918e-02,1.937794355e-17,6.999163059e-05,-2.302170684e-16
2893.333333,5.845109888e+00,-1.435915875e-12,-4.682738513e-02,1.754078603e-17,7.245673583e-05,-2.340050158e-16
3100.000000,5.844179060e+00,-1.484364552e-12,-6.187569764e-02,1.570362851e-17,7.282214557e-05,-2.342651870e-16
3306.666667,5.843248232e+00,-1.532502461e-12,-7.678255961e-02,1.386647099e-17,7.108785980e-05,-2.309975819e-16
3513.333333,5.842317404e+00,-1.579600528e-12,-9.111403400e-02,1.202931348e-17,6.725387853e-05,-2.242022007e-16
3720.000000,5.841386576e+00,-1.624929679e-12,-1.044361837e-01,1.019215596e-17,6.132020176e-05,-2.138790432e-16
3926.666667,5.840455747e+00,-1.667760841e-12,-1.163150717e-01,8.354998440e-18,5.328682948e-05,-2.000281095e-16
4133.333333,5.839524919e+00,-1.707364940e-12,-1.263167609e-01,6.517840923e-18,4.315376171e-05,-1.826493995e-16
4340.000000,5.838594091e+00,-1.743012901e-12,-1.340073142e-01,4.680683405e-18,3.092099842e-05,-1.617429134e-16
4546.666667,5.837663263e+00,-1.773975653e-12,-1.389527945e-01,2.843525887e-18,1.658853964e-05,-1.373086510e-16
4753.333333,5.836732435e+00,-1.799524119e-12,-1.407192649e-01,1.006368369e-18,1.563853475e-07,-1.093466124e-16
4960.000000,5.835801606e+00,-1.818929228e-12,-1.388727881e-01,-8.307891484e-19,-1.837546444e-05,-7.785679758e-17
5166.666667,5.834870778e+00,-1.831461904e-12,-1.329794272e-01,-2.667946666e-18,-3.900700974e-05,-4.283920654e-17
5373.333333,5.833939950e+00,-1.836393075e-12,-1.226052451e-01,-4.505104184e-18,-6.173825054e-05,-4.293839269e-18
5580.000000,5.833009122e+00,-1.832993667e-12,-1.073163046e-01,-6.342261702e-18,-8.656918684e-05,3.777930422e-17
5786.666667,5.832078294e+00,-1.820534605e-12,-8.667866882e-02,-8.179419220e-18,-1.134998186e-04,8.338022393e-17
5993.333333,5.831147465e+00,-1.798286816e-12,-6.025840057e-02,-1.001657674e-17,-1.425301460e-04,1.325089199e-16
6000.000000,5.831117439e+00,-1.797397947e-12,-5.930496274e-02,-1.007583988e-17,-1.435015666e-04,1.341524516e-16
