s_mm,ux,uy,uz,rx,ry,rz
0.000000,5.901008234e+00,-4.021160775e-04,7.024523788e-03,7.391876855e-06,-8.870955508e-05,2.547449786e-16
206.666667,5.899531712e+00,-4.021160775e-04,2.285166933e-02,7.391876855e-06,-6.476745073e-05,2.813898804e-16
413.333333,5.898055191e+00,-4.021160774e-04,3.392365033e-02,7.391876855e-06,-4.269183380e-05,3.058137678e-16
620.000000,5.896578669e+00,-4.021160773e-04,4.062620754e-02,7.391876855e-06,-2.248270428e-05,3.280166450e-16
826.666667,5.895102148e+00,-4.021160773e-04,4.334508168e-02,7.391876855e-06,-4.140062172e-06,3.479985029e-16
1033.333333,5.893625627e+00,-4.021160772e-04,4.246601348e-02,7.391876855e-06,1.233609252e-05,3.657593686e-16
1240.000000,5.892149105e+00,-4.021160771e-04,3.837474368e-02,7.391876855e-06,2.694575980e-05,3.812992014e-16
1446.666667,5.890672584e+00,-4.021160770e-04,3.145701301e-02,7.391876855e-06,3.968893966e-05,3.946180376e-16
1653.333333,5.889196062e+00,-4.021160769e-04,2.209856220e-02,7.391876855e-06,5.056563212e-05,4.057158500e-16
1860.000000,5.887719541e+00,-4.021160769e-04,1.068513198e-02,7.391876855e-06,5.957583716e-05,4.145926566e-16
2066.666667,5.886243020e+00,-4.021160768e-04,-2.397536916e-03,7.391876855e-06,6.671955478e-05,4.212484485e-16
2273.333333,5.884766498e+00,-4.021160767e-04,-1.676370375e-02,7.391876855e-06,7.199678499e-05,4.256832617e-16
2480.000000,5.883289977e+00,-4.021160766e-04,-3.202762780e-02,7.391876855e-06,7.540752779e-05,4.278970060e-16
2686.666667,5.881813455e+00,-4.021160765e-04,-4.780356833e-02,7.391876855e-06,7.695178317e-05,4.278897717e-16
2893.333333,5.880336934e+00,-4.021160764e-04,-6.370578460e-02,7.391876855e-06,7.662955114e-05,4.256615225e-16
3100.000000,5.878860413e+00,-4.021160763e-04,-7.934853589e-02,7.391876855e-06,7.444083170e-05,4.212122767e-16
3306.666667,5.877383891e+00,-4.021160762e-04,-9.434608146e-02,7.391876855e-06,7.038562484e-05,4.145419980e-16
3513.333333,5.875907370e+00,-4.021160762e-04,-1.083126806e-01,7.391876855e-06,6.446393058e-05,4.056507046e-16
3720.000000,5.874430848e+00,-4.021160761e-04,-1.208625925e-01,7.391876855e-06,5.667574889e-05,3.945384145e-16
3926.666667,5.872954327e+00,-4.021160760e-04,-1.316100765e-01,7.391876855e-06,4.702107979e-05,3.812050915e-16
4133.333333,5.871477806e+00,-4.021160759e-04,-1.401693919e-01,7.391876855e-06,3.549992328e-05,3.656507899e-16
4340.000000,5.870001284e+00,-4.021160758e-04,-1.461547979e-01,7.391876855e-06,2.211227936e-05,3.478754555e-16
4546.666667,5.868524763e+00,-4.021160758e-04,-1.491805538e-01,7.391876855e-06,6.858148023e-06,3.278791063e-16
4753.333333,5.867048241e+00,-4.021160757e-04,-1.488609189e-01,7.391876855e-06,-1.026247073e-05,3.056617604e-16
4960.000000,5.865571720e+00,-4.021160757e-04,-1.448101523e-01,7.391876855e-06,-2.924957689e-05,2.812233907e-16
5166.666667,5.864095199e+00,-4.021160756e-04,-1.366425135e-01,7.391876855e-06,-5.010317047e-05,2.545640062e-16
5373.333333,5.862618677e+00,-4.021160755e-04,-1.239722616e-01,7.391876855e-06,-7.282325146e-05,2.256836205e-16
5580.000000,5.861142156e+00,-4.021160755e-04,-1.064136560e-01,7.391876855e-06,-9.740981987e-05,1.945822201e-16
5786.666667,5.859665634e+00,-4.021160755e-04,-8.358095585e-02,7.391876855e-06,-1.238628757e-04,1.612598094e-16
5993.333333,5.858189113e+00,-4.021160754e-04,-5.508842046e-02,7.391876855e-06,-1.521824189e-04,1.257163848e-16
6000.000000,5.858141483e+00,-4.021160754e-04,-5.407072339e-02,7.391876855e-06,-1.531270283e-04,1.245328444e-16
