s_mm,ux,uy,uz,rx,ry,rz
0.000000,4.744208877e+00,-1.181767131e-04,-4.613940323e-02,3.377833649e-06,3.841732439e-04,7.677628205e-17
213.333333,4.828864014e+00,-6.282570629e-04,-4.670340822e-02,1.460383804e-06,4.084304008e-04,7.936561958e-17
426.666667,4.918029520e+00,-7.652585168e-04,-4.726741321e-02,-1.197810004e-07,4.264579522e-04,8.195495712e-17
640.000000,5.010376413e+00,-6.011352167e-04,-4.783141820e-02,-1.362660765e-06,4.382558984e-04,8.454429466e-17
853.333333,5.104575709e+00,-2.078413043e-04,-4.839542318e-02,-2.268255490e-06,4.438242391e-04,8.713363219e-17
1066.666667,5.199298427e+00,3.426690785e-04,-4.895942817e-02,-2.836565175e-06,4.431629746e-04,8.972296973e-17
1280.000000,5.293215584e+00,9.784417897e-04,-4.952343316e-02,-3.067589820e-06,4.362721047e-04,9.231230726e-17
1493.333333,5.384998198e+00,1.627522688e-03,-5.008743815e-02,-2.961329425e-06,4.231516294e-04,9.490164480e-17
1706.666667,5.473317286e+00,2.217957630e-03,-5.065144314e-02,-2.517783990e-06,4.038015488e-04,9.749098234e-17
1920.000000,5.556843865e+00,2.677792476e-03,-5.121544813e-02,-1.736953515e-06,3.782218628e-04,1.000803199e-16
2133.333333,5.634248953e+00,2.935073083e-03,-5.177945312e-02,-6.188380006e-07,3.464125715e-04,1.026696574e-16
2346.666667,5.704203568e+00,2.917845309e-03,-5.234345811e-02,8.365625540e-07,3.083736748e-04,1.052589949e-16
2560.000000,5.765378727e+00,2.554155013e-03,-5.290746310e-02,2.629248149e-06,2.641051728e-04,1.078483325e-16
2773.333333,5.816445447e+00,1.772048052e-03,-5.347146808e-02,4.759218783e-06,2.136070654e-04,1.104376700e-16
2986.666667,5.856074747e+00,4.995702847e-04,-5.403547307e-02,7.226474458e-06,1.568793527e-04,1.130270076e-16
3000.000000,5.858141483e+00,4.021160732e-04,-5.407072339e-02,7.391876855e-06,1.531270283e-04,1.131888412e-16
