X,Y,Z,U1,U2,U3,UR1,UR2,UR3,Total_Displacement
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,200,0.020261476863742273,4.80080868117642e-05,0.0006292838181108372,-4.627338008315095e-07,0.0001991522343895707,1.352707282546208e-17,0.02027130354960181
0,0,400,0.07827588005668747,0.0001781546934181508,0.0012585676362216745,-8.213851979462242e-07,0.0003775292632920292,2.705414565092416e-17,0.07828620012645048
0,0,600,0.1698881684814132,0.000369623339075801,0.0018878514543325118,-1.0759541913441439e-06,0.0005351310867073758,4.0581218476386246e-17,0.1698990594279305
0,0,800,0.2909433010404968,0.0006015975430413554,0.002517135272443349,-1.2264407810252687e-06,0.0006719577046356098,5.410829130184832e-17,0.2909548114569077
0,0,1000,0.4372862366365162,0.0008532608245714553,0.003146419090554186,-1.2728449669895987e-06,0.0007880091170767319,6.763536412731039e-17,0.43729838869913007
0,0,1200,0.6047619341720489,0.0011037967029227421,0.0037757029086650236,-1.2151667492371334e-06,0.000883285324030742,8.116243695277249e-17,0.6047747277483853
0,0,1400,0.789215352549672,0.001332388697351856,0.0044049867267758605,-1.0534061277678742e-06,0.0009577863254976392,9.468950977823457e-17,0.7892287702990857
0,0,1600,0.9864914506719638,0.0015182203271154385,0.005034270544886698,-7.875631025818196e-07,0.001011512121477425,1.0821658260369664e-16,0.9865054643141904
0,0,1800,1.1924351874415016,0.0016404751114701308,0.005663554362997535,-4.176376736789694e-07,0.0010444627119700978,1.2174365542915871e-16,1.1924497655059785
0,0,2000,1.4028915217608624,0.0016783365696725738,0.006292838181108372,5.637015894067461e-08,0.0010566380969756594,1.3527072825462079e-16,1.4029066392509955
0,0,2200,1.613705412532624,0.001610988220979408,0.006922121999219209,6.344603952771132e-07,0.0010480382764941083,1.4879780108008288e-16,1.6137210631001586
0,0,2400,1.820721818659365,0.001417613584647275,0.007551405817330047,1.3166330353303493e-06,0.0010186632505254454,1.6232487390554498e-16,1.8207380301131624
0,0,2600,2.019785699043661,0.0010773961799328152,0.008180689635440884,2.102888079100377e-06,0.0009685130190696699,1.7585194673100706e-16,2.019802553351869
0,0,2800,2.206742012588091,0.0005695195260926708,0.008809973453551721,2.9932255265872006e-06,0.0008975875821267821,1.8937901955646913e-16,2.206759672031842
