X,Y,Z,U1,U2,U3,E11,E22,E33,E12,E13,E23,S11,S22,S33,S12,S13,S23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
